timestamp,city,trade_date,mean_forecast,current_sigma,tmax_open_meteo,tmax_visual_crossing,tmax_tomorrow,tmax_weatherapi,tmax_google_weather,tmax_openweathermap,tmax_pirateweather,tmax_weather_gov,sources_used,weights_used
2026-01-27T09:00:33.645663-05:00,fl,2026-01-28,63.6841,5.7142,53.8000,67.0000,55.2900,57.9000,56.4800,67.1500,66.0600,68.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-27T15:00:16.756354-05:00,ny,2026-01-28,21.4998,0.9589,20.7000,22.0000,21.8500,23.5000,21.3800,20.7100,21.1600,23.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3122,open-meteo:0.0057,openweathermap:0.2353,pirateweather:0.1204,tomorrow:0.1051,visual-crossing:0.1222,weather.gov:0.0549,weatherapi:0.0441"
2026-01-27T15:00:16.767653-05:00,ny,2026-01-27,21.0112,1.8836,20.9000,21.8000,20.8600,25.3000,21.3800,21.0200,18.7200,19.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3122,open-meteo:0.0057,openweathermap:0.2353,pirateweather:0.1204,tomorrow:0.1051,visual-crossing:0.1222,weather.gov:0.0549,weatherapi:0.0441"
2026-01-27T15:00:22.297087-05:00,il,2026-01-27,13.9695,2.0119,14.6000,13.9000,14.6800,19.8000,12.9200,13.8600,13.5300,14.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0684,open-meteo:0.1046,openweathermap:0.2344,pirateweather:0.1557,tomorrow:0.0826,visual-crossing:0.3209,weather.gov:0.0228,weatherapi:0.0108"
2026-01-27T15:00:22.333410-05:00,il,2026-01-28,15.5310,2.0323,17.6000,15.0000,17.7600,18.9000,12.0200,15.6700,14.9400,17.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0684,open-meteo:0.1046,openweathermap:0.2344,pirateweather:0.1557,tomorrow:0.0826,visual-crossing:0.3209,weather.gov:0.0228,weatherapi:0.0108"
2026-01-27T15:00:28.270558-05:00,tx,2026-01-27,47.6855,0.8867,49.0000,47.9000,46.8500,48.6000,47.1200,46.9400,46.9900,49.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.2826,open-meteo:0.0034,openweathermap:0.0219,pirateweather:0.0225,tomorrow:0.0337,visual-crossing:0.5391,weather.gov:0.0283,weatherapi:0.0685"
2026-01-27T15:00:28.284445-05:00,tx,2026-01-28,50.1487,4.9750,48.6000,52.1000,49.8900,37.1000,48.9200,53.4600,52.3800,53.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.2826,open-meteo:0.0034,openweathermap:0.0219,pirateweather:0.0225,tomorrow:0.0337,visual-crossing:0.5391,weather.gov:0.0283,weatherapi:0.0685"
2026-01-27T15:00:31.182305-05:00,fl,2026-01-28,65.5106,5.8455,55.5000,67.0000,51.3900,64.0000,67.6400,66.1300,66.0600,68.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-27T15:00:31.215261-05:00,fl,2026-01-27,66.7979,2.6179,74.0000,67.0000,64.5300,67.5000,66.3800,66.2500,66.8100,67.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-27T21:00:12.179767-05:00,ny,2026-01-27,18.6576,4.7356,20.7000,21.8000,20.8600,25.5000,17.9600,18.0900,18.7200,8.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3122,open-meteo:0.0057,openweathermap:0.2353,pirateweather:0.1204,tomorrow:0.1051,visual-crossing:0.1222,weather.gov:0.0549,weatherapi:0.0441"
