date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-16,14.1,6.7,20.6,0.0,0.0,,10.0,,1020.7,
2026-01-17,21.1,16.7,25.6,0.0,0.0,,8.5,,1019.7,
2026-01-18,21.2,13.9,27.8,8.9,0.0,,9.2,,1016.2,
2026-01-19,14.0,8.9,19.4,0.0,,,7.4,,1019.7,
2026-01-20,17.5,12.7,21.6,0.0,,,15.9,,1025.0,
2026-01-21,21.2,18.5,23.5,0.0,,,15.7,,1023.2,
2026-01-22,22.8,20.2,25.6,0.0,,,10.4,,1019.8,
2026-01-23,23.5,20.8,26.7,0.0,,,9.4,,1018.8,
2026-01-24,23.5,20.9,26.4,0.0,,,9.7,,1019.1,
2026-01-25,24.1,21.5,27.6,0.0,,,9.8,,1018.7,
2026-01-26,22.8,21.1,25.5,6.5,,,9.8,,1020.7,
2026-01-27,21.6,20.1,23.5,0.9,,,13.0,,1020.0,
2026-01-28,19.4,16.7,21.8,0.0,,,12.1,,1017.9,
2026-01-29,18.3,16.4,21.2,0.0,,,11.4,,1016.6,
