timestamp,city,stid,temp,trend_10m,trend_30m,trend_1h,acceleration
2026-01-29T15:53:00+00:00,tx,KAUS,51.98,12.4818,14.9939,11.1187,-2.5121
2026-01-29T16:25:00+00:00,fl,KMIA,66.2,4.32,4.5347,3.5576,-0.2147
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:20:00+00:00,il,KMDW,10.4,4.32,4.2779,4.1519,0.0421
2026-01-29T15:53:00+00:00,tx,KAUS,51.98,12.4818,14.9939,11.1187,-2.5121
2026-01-29T16:25:00+00:00,fl,KMIA,66.2,4.32,4.5347,3.5576,-0.2147
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:20:00+00:00,il,KMDW,10.4,4.32,4.2779,4.1519,0.0421
2026-01-29T15:53:00+00:00,tx,KAUS,51.98,12.4818,14.9939,11.1187,-2.5121
2026-01-29T16:30:00+00:00,fl,KMIA,66.2,-0.0,4.705,3.4557,-4.705
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:30:00+00:00,il,KMDW,10.4,0.0,3.7767,3.7868,-3.7767
2026-01-29T15:53:00+00:00,tx,KAUS,51.98,12.4818,14.9939,11.1187,-2.5121
2026-01-29T16:30:00+00:00,fl,KMIA,66.2,-0.0,4.705,3.4557,-4.705
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:30:00+00:00,il,KMDW,10.4,0.0,3.7767,3.7868,-3.7767
2026-01-29T15:53:00+00:00,tx,KAUS,51.98,12.4818,14.9939,11.1187,-2.5121
2026-01-29T16:30:00+00:00,fl,KMIA,66.2,-0.0,4.705,3.4557,-4.705
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:30:00+00:00,il,KMDW,10.4,0.0,3.7767,3.7868,-3.7767
2026-01-29T16:30:00+00:00,tx,KAUS,55.4,6.48,7.2231,11.5106,-0.7431
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:30:00+00:00,tx,KAUS,55.4,6.48,7.2231,11.5106,-0.7431
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:35:00+00:00,fl,KMIA,66.2,0.0,4.6262,3.515,-4.6262
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:35:00+00:00,il,KMDW,10.4,0.0,3.1801,3.4784,-3.1801
