date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-09,8.0,5.0,15.6,0.5,0.0,,22.4,,1012.1,
2026-01-10,1.8,-3.3,5.0,0.0,,,17.8,,1015.7,
2026-01-11,-2.4,-5.6,1.1,0.0,0.0,,22.4,,1025.2,
2026-01-12,0.9,-2.8,5.6,0.0,0.0,,19.4,,1020.0,
2026-01-13,5.6,1.1,10.0,0.0,0.0,,19.7,,1006.0,
2026-01-14,-2.8,-7.0,6.0,0.0,,,27.9,,1012.9,
2026-01-15,-6.7,-9.4,-4.4,0.0,2.0,,20.9,,1012.9,
2026-01-16,-1.1,-5.6,2.8,0.5,,,23.1,,1002.4,
2026-01-17,-8.7,-10.6,-3.3,0.0,,,28.2,,1015.2,
2026-01-18,-9.7,-13.3,-7.2,0.5,2.0,,22.3,,1015.0,
2026-01-19,-14.2,-17.8,-7.2,0.0,,,13.4,,,
2026-01-20,-11.4,-18.1,-4.9,0.1,,,10.8,,1027.4,
2026-01-21,-4.1,-8.1,-2.0,2.2,,,16.4,,1016.1,
