logged_at,trade_date,city,series_ticker,event_ticker,market_ticker,market_subtitle,bucket_lo,bucket_hi,entry_price,model_prob,kelly,count,target_exit_price,exit_order_id,exit_price_filled,exit_ts,send_orders,status
2026-03-02T23:29:45.598521-05:00,2026-03-03,tx,KXHIGHAUS,KXHIGHAUS-26MAR03,KXHIGHAUS-26MAR03-T85,84° or below,,84.0,4,0.1504,0.1150,1,10,,,2026-03-03T12:30:03.274871-05:00,False,settled
2026-03-02T23:29:47.608799-05:00,2026-03-03,fl,KXHIGHMIA,KXHIGHMIA-26MAR03,KXHIGHMIA-26MAR03-B76.5,76° to 77°,76.0,77.0,6,0.1683,0.1152,1,15,,,2026-03-03T12:30:03.274871-05:00,False,settled
2026-03-03T07:15:59.922194-05:00,2026-03-03,fl,KXHIGHMIA,KXHIGHMIA-26MAR03,KXHIGHMIA-26MAR03-T76,75° or below,,75.0,1,0.1097,0.1008,6,2,,,2026-03-03T12:30:03.274871-05:00,True,settled
2026-03-03T10:24:06.450317-05:00,2026-03-03,fl,KXHIGHMIA,KXHIGHMIA-26MAR03,KXHIGHMIA-26MAR03-B78.5,78° to 79°,78.0,79.0,2,0.1926,0.1761,5,5,,,2026-03-03T12:30:03.274871-05:00,False,settled
2026-03-04T07:15:28.224494-05:00,2026-03-04,ny,KXHIGHNY,KXHIGHNY-26MAR04,KXHIGHNY-26MAR04-T55,56° or above,56.0,,2,0.1736,0.1567,4,5,,,2026-03-04T12:30:02.728028-05:00,True,settled
2026-03-04T07:15:30.653163-05:00,2026-03-04,fl,KXHIGHMIA,KXHIGHMIA-26MAR04,KXHIGHMIA-26MAR04-B79.5,79° to 80°,79.0,80.0,5,0.1954,0.1530,1,12,,,2026-03-04T12:30:02.728028-05:00,True,settled
2026-03-04T07:15:30.996377-05:00,2026-03-04,fl,KXHIGHMIA,KXHIGHMIA-26MAR04,KXHIGHMIA-26MAR04-B77.5,77° to 78°,77.0,78.0,1,0.1380,0.1293,8,2,,,2026-03-04T12:30:02.728028-05:00,True,settled
2026-03-05T07:15:29.116204-05:00,2026-03-05,ny,KXHIGHNY,KXHIGHNY-26MAR05,KXHIGHNY-26MAR05-B43.5,43° to 44°,43.0,44.0,1,0.1728,0.1644,10,1,79dfd5aa-0bde-49e5-a543-2409ce4fb4bb,,2026-03-05T12:30:02.305509-05:00,True,settled
2026-03-05T07:15:30.015027-05:00,2026-03-05,tx,KXHIGHAUS,KXHIGHAUS-26MAR05,KXHIGHAUS-26MAR05-T83,82° or below,,82.0,10,0.3022,0.2247,1,25,b0ef688c-57bf-4e14-87c0-0a4f3858e869,,2026-03-05T12:30:02.305509-05:00,True,settled
2026-03-05T07:15:30.696802-05:00,2026-03-05,fl,KXHIGHMIA,KXHIGHMIA-26MAR05,KXHIGHMIA-26MAR05-B78.5,78° to 79°,78.0,79.0,4,0.1802,0.1460,2,6,e0b6b8cc-a2c6-4a40-b576-96b86f738e15,,2026-03-05T12:30:02.305509-05:00,True,settled
2026-03-05T07:15:30.999864-05:00,2026-03-05,fl,KXHIGHMIA,KXHIGHMIA-26MAR05,KXHIGHMIA-26MAR05-T78,77° or below,,77.0,1,0.1186,0.1097,6,1,6eb37866-3696-4ea7-b522-0ccd48205bc4,,2026-03-05T12:30:02.305509-05:00,True,settled
2026-03-06T07:15:43.031160-05:00,2026-03-06,tx,KXHIGHAUS,KXHIGHAUS-26MAR06,KXHIGHAUS-26MAR06-T81,80° or below,,80.0,5,0.2339,0.1936,2,7,edb79968-30ee-479b-8b0a-725a146b6e41,,2026-03-06T12:30:01.778587-05:00,True,settled
2026-03-06T07:15:47.277605-05:00,2026-03-06,fl,KXHIGHMIA,KXHIGHMIA-26MAR06,KXHIGHMIA-26MAR06-B80.5,80° to 81°,80.0,81.0,4,0.1894,0.1556,2,6,4dbf943e-c84e-479f-a429-a2594113a836,,2026-03-06T12:30:01.778587-05:00,True,settled
2026-03-08T07:15:17.248119-04:00,2026-03-08,fl,KXHIGHMIA,KXHIGHMIA-26MAR08,KXHIGHMIA-26MAR08-B80.5,80° to 81°,80.0,81.0,4,0.1372,0.1012,1,6,edbc189c-1e0d-4247-bf55-5cd7b0432be9,6,2026-03-08T11:00:02.001527-04:00,False,filled
2026-03-09T07:15:19.131908-04:00,2026-03-09,fl,KXHIGHMIA,KXHIGHMIA-26MAR09,KXHIGHMIA-26MAR09-T80,79° or below,,79.0,2,0.2034,0.1872,5,3,,,,False,shadow
2026-03-09T07:15:19.146656-04:00,2026-03-09,fl,KXHIGHMIA,KXHIGHMIA-26MAR09,KXHIGHMIA-26MAR09-B80.5,80° to 81°,80.0,81.0,2,0.1968,0.1804,5,3,,,,False,shadow
2026-03-10T07:15:10.050534-04:00,2026-03-10,fl,KXHIGHMIA,KXHIGHMIA-26MAR10,KXHIGHMIA-26MAR10-B80.5,80° to 81°,80.0,81.0,4,0.1133,0.0764,1,6,,,,False,shadow
2026-03-11T07:15:09.440463-04:00,2026-03-11,il,KXHIGHCHI,KXHIGHCHI-26MAR11,KXHIGHCHI-26MAR11-B48.5,48° to 49°,48.0,49.0,3,0.1152,0.0878,1,4,,,,False,shadow
2026-03-11T07:15:10.576469-04:00,2026-03-11,fl,KXHIGHMIA,KXHIGHMIA-26MAR11,KXHIGHMIA-26MAR11-B79.5,79° to 80°,79.0,80.0,2,0.1690,0.1520,4,3,,,,False,shadow
2026-03-11T07:15:10.595108-04:00,2026-03-11,fl,KXHIGHMIA,KXHIGHMIA-26MAR11,KXHIGHMIA-26MAR11-B81.5,81° to 82°,81.0,82.0,5,0.1798,0.1367,1,7,,,,False,shadow
2026-03-26T10:00:44.552444-04:00,2026-03-26,fl,KXHIGHMIA,KXHIGHMIA-26MAR26,KXHIGHMIA-26MAR26-B79.5,79° to 80°,79.0,80.0,3,0.1736,0.1480,3,4,79.7982,2.2599,,,,False,shadow
2026-03-28T10:00:29.342767-04:00,2026-03-28,fl,KXHIGHMIA,KXHIGHMIA-26MAR28,KXHIGHMIA-26MAR28-B81.5,81° to 82°,81.0,82.0,2,0.1112,0.0931,2,3,81.6561,3.5720,,,,False,shadow
2026-03-29T10:00:09.840272-04:00,2026-03-29,ny,KXHIGHNY,KXHIGHNY-26MAR29,KXHIGHNY-26MAR29-T57,58° or above,58.0,,6,0.3225,0.2793,2,15,56.5629,3.1200,,,,False,shadow
2026-03-29T10:00:10.611058-04:00,2026-03-29,il,KXHIGHCHI,KXHIGHCHI-26MAR29,KXHIGHCHI-26MAR29-T68,69° or above,69.0,,2,0.1441,0.1266,3,3,65.7030,3.1040,,,,False,shadow
2026-03-30T10:00:11.208022-04:00,2026-03-30,tx,KXHIGHAUS,KXHIGHAUS-26MAR30,KXHIGHAUS-26MAR30-T87,86° or below,,86.0,4,0.1282,0.0919,1,6,88.5813,2.2742,,,,False,shadow
2026-04-01T10:00:10.190891-04:00,2026-04-01,ny,KXHIGHNY,KXHIGHNY-26APR01,KXHIGHNY-26APR01-T79,80° or above,80.0,,5,0.1970,0.1547,1,7,78.2949,2.0000,,,,False,shadow
2026-04-04T10:00:51.451149-04:00,2026-04-04,fl,KXHIGHMIA,KXHIGHMIA-26APR04,KXHIGHMIA-26APR04-B80.5,80° to 81°,80.0,81.0,4,0.1345,0.0984,1,6,81.8814,2.5500,,,,False,shadow
2026-04-05T10:00:07.648048-04:00,2026-04-05,tx,KXHIGHAUS,KXHIGHAUS-26APR05,KXHIGHAUS-26APR05-T71,72° or above,72.0,,10,0.2807,0.2007,1,15,70.4678,2.6379,,,,False,shadow
2026-04-10T10:01:05.472884-04:00,2026-04-10,ny,KXHIGHNY,KXHIGHNY-26APR10,KXHIGHNY-26APR10-T61,60° or below,,60.0,2,0.1574,0.1402,4,3,63.2731,3.2564,,,,False,shadow
2026-04-10T10:01:07.118304-04:00,2026-04-10,il,KXHIGHCHI,KXHIGHCHI-26APR10,KXHIGHCHI-26APR10-T57,58° or above,58.0,,3,0.2443,0.2209,4,4,56.1554,2.6632,,,,False,shadow
2026-04-10T10:01:08.269335-04:00,2026-04-10,tx,KXHIGHAUS,KXHIGHAUS-26APR10,KXHIGHAUS-26APR10-T77,76° or below,,76.0,5,0.2816,0.2438,3,7,77.5265,2.6403,,,,False,shadow
2026-04-10T10:01:09.668594-04:00,2026-04-10,fl,KXHIGHMIA,KXHIGHMIA-26APR10,KXHIGHMIA-26APR10-B78.5,78° to 79°,78.0,79.0,7,0.1759,0.1139,1,10,79.4702,2.0000,,,,False,shadow
2026-04-13T10:00:42.249307-04:00,2026-04-13,il,KXHIGHCHI,KXHIGHCHI-26APR13,KXHIGHCHI-26APR13-T83,84° or above,84.0,,9,0.2369,0.1614,1,13,81.4037,3.6240,,,,False,shadow
2026-04-13T10:00:42.808175-04:00,2026-04-13,tx,KXHIGHAUS,KXHIGHAUS-26APR13,KXHIGHAUS-26APR13-T82,81° or below,,81.0,2,0.1712,0.1543,4,3,84.2401,3.4129,,,,False,shadow
2026-04-14T10:00:50.975711-04:00,2026-04-14,ny,KXHIGHNY,KXHIGHNY-26APR14,KXHIGHNY-26APR14-B81.5,81° to 82°,81.0,82.0,5,0.1516,0.1070,1,7,82.6690,2.2984,,,,False,shadow
2026-04-15T10:00:32.275664-04:00,2026-04-15,fl,KXHIGHMIA,KXHIGHMIA-26APR15,KXHIGHMIA-26APR15-B77.5,77° to 78°,77.0,78.0,2,0.1540,0.1367,4,3,78.9251,2.0000,,,,False,shadow
2026-04-16T10:00:10.188737-04:00,2026-04-16,ny,KXHIGHNY,KXHIGHNY-26APR16,KXHIGHNY-26APR16-T91,92° or above,92.0,,8,0.2028,0.1335,1,12,89.7106,2.7532,,,,False,shadow
2026-04-16T10:00:11.613946-04:00,2026-04-16,tx,KXHIGHAUS,KXHIGHAUS-26APR16,KXHIGHAUS-26APR16-B86.5,86° to 87°,86.0,87.0,4,0.1148,0.0779,1,6,88.6045,2.0000,,,,False,shadow
2026-04-16T10:00:12.418609-04:00,2026-04-16,fl,KXHIGHMIA,KXHIGHMIA-26APR16,KXHIGHMIA-26APR16-T85,86° or above,86.0,,4,0.1820,0.1480,2,6,82.9594,3.3500,,,,False,shadow
2026-04-17T10:00:09.909996-04:00,2026-04-17,fl,KXHIGHMIA,KXHIGHMIA-26APR17,KXHIGHMIA-26APR17-B80.5,80° to 81°,80.0,81.0,2,0.1154,0.0974,3,3,82.5895,2.2000,,,,False,shadow
2026-04-18T10:00:11.333551-04:00,2026-04-18,tx,KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-B77.5,77° to 78°,77.0,78.0,4,0.1032,0.0658,1,6,75.5753,3.2295,,,,False,shadow
2026-04-19T10:01:07.073559-04:00,2026-04-19,fl,KXHIGHMIA,KXHIGHMIA-26APR19,KXHIGHMIA-26APR19-B83.5,83° to 84°,83.0,84.0,4,0.1389,0.1030,1,6,84.3012,2.7379,,,,False,shadow
2026-04-20T10:01:28.253871-04:00,2026-04-20,fl,KXHIGHMIA,KXHIGHMIA-26APR20,KXHIGHMIA-26APR20-B81.5,81° to 82°,81.0,82.0,5,0.1322,0.0865,1,7,82.0227,2.9572,,,,False,shadow
