date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-18,5.6,-4.4,17.8,0.0,0.0,,9.4,,1026.8,
2026-01-19,9.2,-5.0,20.0,0.0,0.0,,10.1,,1024.5,
2026-01-20,8.8,3.3,15.6,0.0,0.0,,12.2,,1026.8,
2026-01-21,16.8,12.8,24.4,1.3,0.0,,7.6,,1019.6,
2026-01-22,15.3,11.7,21.1,0.0,0.0,,12.2,,1019.3,
2026-01-23,16.5,7.2,20.0,3.6,0.0,,13.0,,1017.2,
2026-01-24,4.2,-3.9,7.2,9.7,0.0,,28.4,,1018.5,
2026-01-25,-3.9,-6.1,-1.7,4.1,2.0,,23.4,,1023.2,
2026-01-26,-3.3,-7.2,2.8,0.0,2.0,,14.0,,1036.6,
2026-01-27,-0.2,-8.9,10.0,0.0,0.0,,8.3,,1032.5,
2026-01-28,3.9,-5.6,14.4,0.0,0.0,,4.7,,1029.0,
2026-01-29,10.1,-3.3,22.8,0.0,0.0,,14.4,,1020.6,
2026-01-30,6.3,1.7,12.8,0.0,,,7.4,,,
2026-01-31,1.6,-1.7,4.6,0.0,,,16.6,,1035.8,
