date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2026-01-10,24.1,22.2,27.8,0.0,0.0,,15.2,,1020.8,
2026-01-11,24.1,17.2,28.9,0.0,0.0,,6.1,,1019.8,
2026-01-12,21.5,18.3,25.0,14.0,0.0,,12.1,,1020.6,
2026-01-13,21.2,20.0,22.8,12.2,0.0,,6.0,,1019.4,
2026-01-14,21.9,18.9,26.1,0.3,0.0,,9.8,,1013.3,
2026-01-15,17.3,10.0,22.2,0.0,0.0,,14.2,,1012.4,
2026-01-16,14.1,6.7,20.6,0.0,0.0,,10.0,,1020.7,
2026-01-17,21.1,16.7,25.6,0.0,0.0,,8.5,,1019.7,
2026-01-18,21.2,13.9,27.8,8.9,0.0,,9.2,,1016.2,
2026-01-19,14.0,8.9,19.4,0.0,,,7.4,,1019.7,
2026-01-20,17.5,12.7,21.6,0.0,,,15.9,,1025.0,
2026-01-21,21.2,18.5,23.5,0.0,,,15.7,,1023.2,
2026-01-22,22.8,20.2,25.6,0.0,,,10.4,,1019.8,
2026-01-23,23.5,20.8,26.7,0.0,,,9.4,,1018.8,
